type,class,main,to_sub,sub,score
train,sake,甘い,-,-,2
train,sake,甘み,-,-,2
train,sake,甘味,-,-,2
train,sake,ありがたい,-,-,2
train,sake,ありがとう,1,ござい,7
train,sake,安定,-,-,2
train,sake,いい,-,-,3
train,sake,うまい,-,-,3
train,sake,旨い,-,-,3
train,sake,うれしい,-,-,3
train,sake,嬉しい,-,-,3
train,sake,おいしい,-,-,3
train,sake,美味い,-,-,3
train,sake,美味し,-,-,3
train,sake,美味しい,-,-,3
train,sake,おいしかっ,-,-,3
train,sake,美味しかっ,-,-,3
train,sake,おいしく,-,-,3
train,sake,美味しく,-,-,3
train,sake,お買い得,-,-,2
train,sake,お気に入り,-,-,2
train,sake,おすすめ,-,-,2
train,sake,オススメ,-,-,2
train,sake,お勧め,-,-,2
train,sake,買い,1,ませ,-3
train,sake,買う,4,ませ,-3
train,sake,がっかり,-,-,-2
train,sake,感動,-,-,3
train,sake,キツイ,-,-,-1
train,sake,キツ,-,-,-1
train,sake,気に入っ,-,-,2
train,sake,気持ち良かっ,-,-,2
train,sake,興味,2,持ち,2
train,sake,口,4,ませ,-3
train,sake,口,3,ませ,-3
train,sake,後悔,2,ない,2
train,sake,好感,-,-,2
train,sake,豪華,-,-,2
train,sake,高級,-,-,2
train,sake,好評,-,-,3
train,sake,高揚,3,なかっ,-3
train,sake,コク,5,ませ,-4
train,sake,コク,-,-,2
train,sake,コス,3,高く,3
train,sake,好み,6,ませ,-2
train,sake,好み,4,ませ,-2
train,sake,好み,2,ない,-2
train,sake,好んで,-,-,2
train,sake,最高,-,-,3
train,sake,爽やか,3,不足,-1
train,sake,残念,-,-,-2
train,sake,上質,-,-,3
train,sake,上々,-,-,3
train,sake,贅沢,-,-,2
train,sake,好き,-,-,2
train,sake,優れ,-,-,5
train,sake,凄い,-,-,4
train,sake,すっきり,3,少ない,-2
train,sake,すっきり,-,-,2
train,sake,素晴らしい,-,-,3
train,sake,絶賛,-,-,2
train,sake,大好き,-,-,7
train,sake,大丈夫,-,-,2
train,sake,大人気,-,-,10.5
train,sake,助かり,-,-,2
train,sake,妥当,-,-,1
train,sake,楽しみ,-,-,4
train,sake,楽しむ,-,-,4
train,sake,楽しめ,-,-,2
train,sake,楽しめる,-,-,2
train,sake,超,1,人気,15
train,sake,丁寧,-,-,2
train,sake,重宝,-,-,2
train,sake,人気,2,出る,3
train,sake,濃厚,-,-,2
train,sake,飲み,1,やすい,3
train,sake,呑み,1,やすい,3
train,sake,飲み,1,やすく,3
train,sake,飲め,5,なかっ,-3
train,sake,飲め,-,-,3
train,sake,呑め,4,ない,-3
train,sake,飲める,-,-,3
train,sake,呑める,-,-,3
train,sake,入り,1,辛かっ,-1
train,sake,華やか,1,な,4
train,sake,ベッタリ,5,なく,-5
train,sake,芳醇,-,-,2
train,sake,惚れ,-,-,3
train,sake,満足,-,-,2
train,sake,不味かっ,-,-,-3
train,sake,間違い,1,ない,1
train,sake,間違い,1,なく,1
train,sake,万,2,受け,10.5
train,sake,ミス,-,-,-2
train,sake,物足りなかっ,-,-,-2
train,sake,文句,3,ませ,2
train,sake,文句,2,ませ,2
train,sake,文句,2,ない,2
train,sake,文句,1,無し,2
train,sake,問題,1,ない,2
train,sake,優しい,-,-,2
train,sake,優しく,-,-,2
train,sake,安い,-,-,1
train,sake,安かっ,-,-,1
train,sake,優雅,-,-,2
train,sake,有名,-,-,2
train,sake,よい,-,-,3
train,sake,良い,3,ませ,-3
train,sake,良い,-,-,3
train,sake,よかっ,-,-,3
train,sake,良かっ,-,-,3
train,sake,よく,-,-,3
train,sake,良く,-,-,3
train,sake,良し,-,-,3
train,sake,喜ば,-,-,3
train,sake,喜ん,-,-,3
train,sake,悪,-,-,-3
train,sake,悪く,1,ない,3
train,sake,悪く,-,-,-3
train,sake,悪酔い,3,ませ,2
train,beer,味,3,ない,-3
train,beer,甘,-,-,2
train,beer,いい,-,-,3
train,beer,いまいち,-,-,-3
train,beer,イマイチ,-,-,-3
train,beer,うまい,-,-,3
train,beer,ウマイ,-,-,3
train,beer,上手い,-,-,3
train,beer,裏切ら,-,-,-3
train,beer,嬉しい,-,-,3
train,beer,おいしい,-,-,3
train,beer,美味い,-,-,3
train,beer,美味かっ,-,-,3
train,beer,美味しい,-,-,3
train,beer,おいしかっ,-,-,3
train,beer,美味しかっ,-,-,3
train,beer,美味しく,1,ない,-3
train,beer,美味しく,-,-,3
train,beer,お買い得,-,-,2
train,beer,お気に入り,-,-,2
train,beer,おすすめ,-,-,2
train,beer,オススメ,-,-,2
train,beer,お勧め,-,-,2
train,beer,お,1,得,2
train,beer,劣る,3,ない,2
train,beer,買い,1,たい,3
train,beer,がっかり,-,-,-2
train,beer,ガッカリ,-,-,-2
train,beer,感動,-,-,3
train,beer,完璧,-,-,3
train,beer,気に入っ,-,-,2
train,beer,気に入り,-,-,2
train,beer,気品,-,-,2
train,beer,苦,-,-,-2
train,beer,後悔,-,-,-2
train,beer,高級,-,-,2
train,beer,こく,-,-,2
train,beer,コク,-,-,2
train,beer,好み,2,味,2
train,beer,最悪,-,-,-3
train,beer,最高,-,-,3
train,beer,さっぱり,-,-,2
train,beer,残念,-,-,-2
train,beer,失望,-,-,-2
train,beer,失礼,-,-,-2
train,beer,弱点,2,ない,2
train,beer,十分,-,-,3
train,beer,上品,-,-,2
train,beer,進歩,-,-,2
train,beer,好き,-,-,2
train,beer,優れ,-,-,5
train,beer,すっきり,-,-,2
train,beer,スッキリ,-,-,2
train,beer,絶賛,-,-,2
train,beer,爽快,-,-,2
train,beer,遜色,2,ませ,2
train,beer,遜色,2,ない,2
train,beer,楽しめる,-,-,2
train,beer,ダメ,-,-,-3
train,beer,試し,5,ある,2
train,beer,トップクラス,-,-,2
train,beer,濃厚,-,-,2
train,beer,飲み,3,あり,3
train,beer,飲み,2,ませ,3
train,beer,飲み,1,やすい,3
train,beer,飲み,1,やすかっ,3
train,beer,飲み,1,やすく,3
train,beer,呑み,1,やすく,3
train,beer,飲め,1,ない,-3
train,beer,はまっ,-,-,1
train,beer,ハマり,-,-,1
train,beer,ハマる,-,-,1
train,beer,ピッタリ,-,-,3
train,beer,ひどく,-,-,-3
train,beer,ベスト,-,-,3
train,beer,満足,-,-,2
train,beer,不味い,-,-,-3
train,beer,不味く,2,ない,3
train,beer,不味く,-,-,-3
train,beer,問題,1,なし,2
train,beer,安い,-,-,1
train,beer,安かっ,-,-,1
train,beer,安く,-,-,1
train,beer,和らげ,-,-,1
train,beer,良,-,-,3
train,beer,よい,-,-,3
train,beer,良い,-,-,3
train,beer,よかっ,-,-,3
train,beer,良かっ,-,-,3
train,beer,良く,-,-,3
train,beer,気楽,-,-,1
train,beer,リッチ,-,-,2
train,beer,リピート,3,ませ,-3
train,beer,レベル,1,高い,2
train,beer,私,4,ませ,-3
test,sake,C,4,高い,3
test,sake,飽きる,2,なく,3
test,sake,あ,2,とろい,2
test,sake,有難う,1,ござい,7
test,sake,有難く,-,-,2
test,sake,安易,-,-,1
test,sake,旨し,-,-,3
test,sake,美味,-,-,3
test,sake,美味かっ,-,-,3
test,sake,美味しく,1,ない,-3
test,sake,お,1,得,3
test,sake,買い,1,たい,3
test,sake,ガッカリ,-,-,-2
test,sake,感謝,-,-,2
test,sake,気に入り,-,-,2
test,sake,期待,3,ない,1
test,sake,期待,1,外れ,-1
test,sake,癖,2,なり,3
test,sake,購入,2,たい,3
test,sake,購入,1,しよ,3
test,sake,こく,-,-,2
test,sake,媚,1,てる,2
test,sake,困ら,1,ない,3
test,sake,自分,4,欲しい,3
test,sake,秀逸,-,-,3
test,sake,人気,2,高い,3
test,sake,人気,2,ある,3
test,sake,入り,1,やすく,1
test,sake,満喫,-,-,2
test,sake,身近,5,たい,3
test,sake,文句,1,なし,2
test,sake,安く,-,-,1
test,sake,安,1,さ,1
test,sake,よろこん,-,-,3
test,sake,リピ,2,たい,3
test,sake,私,2,好み,2