type,data,score
train,プレミアムビール云々という宣伝文句に釣られてケース買いしたが、ただ甘いだけのビールテイスト飲料。もしかしたら、これまで飲んだ第3の中で一番不味いかも。Asahiはスーパードライ以外さんざんガッカリさせられてきたが、またしても裏切られた。プレミアムを引き合いに出すなんて、あまりに失礼すぎる,-35.5
train,このリーズナブルな価格に反して、今までに飲んだ発泡酒の中でも個人的な感想では美味しさでかなり上位に入ります。普段は麒◯淡麗、もしくはスーパードライ派なのですが安かったので試してみようと思い購入してみましたがこれがとても呑みやすく、違う意味での当たりでした。分かりにくいかも知れませんが、とても口当たりが良く味を例えるなら麦の香りがとても強くまるで何処かの地ビールを生ビールで飲んでいる様な今までには無い斬新な美味しさです。（※ただし、少し甘めで味の厚みというか深みはビール程ではないがバランスはよく出来ていてる）コスパも非常に優れていますし今飲んでいる発泡酒などに、もし不満があるのなら気分転換に一度お試しされてみるのも良いかと思います。味はあくまで好みの問題ではありますが一度は試してみる価値はある程に斬新で完成度の高い味わいの発泡酒だと思いました。長くなりましたが参考になれれば幸いです。,31.5
train,好みはあるかも知れませんが、こちらは今までの人生で、1番美味しいです。RICHという名前は正解、クセの無い上品な味、かと言って6%で美味しく酔う。予約して良かったです、パッケージも高級で気品もあり、いかにも美味しそうです‼️,25.5
train,こちらのレビューを見ていると賛否両論があるようですが、第３のビールと発泡酒の中ではアサヒ ザ・リッチ と本麒麟がうちではベストワンです。アサヒ ザ・リッチの方がホップの苦味を強く感じます。どちらも価格は安いのに味は普通のビールに比べて劣るところはないと思います。,3
train,あれから何度か購入したので詳しくレビューし直しです。麦とホップのみで作られている他の物と違い、米、コーンスターチなど、ビールと関係ない異物と言える物が原料に入っているので、本当に美味しいの？という素朴な感じで購入。なぜかとても飲みやすく雑味を感じないもビール本来のおいしさは皆無。普通、異物系が入って誤魔化してるのは雑味がひどくまずいのに、なぜかこれは及第点に到達で飲みやすい感じ。軽い感じで雑味もなく口当たりも良くとても飲みやすいため、飲みすぎてしまうのではと思います。普段購入の物より香りも味も泡の滑らかさもまったくありません。軽く、口当たりは良く、雑味はなし、泡はダメダメですぐ消えるのとなめらかさは無い。ビール特有の苦さや美味しさや香りは皆無です。何か別の飲料という感じ。他社のプレミアムビールがライバル？とんでもない！これはビールをあまり知らない人が絶賛するタイプの無難なものでそもそもビールですらない。第3のビールとしても特に抜きん出てるわけでもない代わりに、大きな弱点もない。特徴のない飲みやすいだけのもの。泡の雑さがひどく、泡に滑らかは0。香りも0、味もあまりしない代わりに飲みやすい。そんなものです。あらゆる物をテイストしてきた私の正直な感想。星3が妥当。,37
train,ライバルはプレミアム？とてもそうは思えない味でした。金麦ラガーとか本麒麟等、美味しい第3のビールは沢山あります。ですが、この商品には失望させられました。,-2
train,ライバルはプレミアムビールと言ってしまってますが、やり過ぎではと思いました。御社の美味しいビール「豊醸」と同格なの？せっかく美味しいビールを作ったのに、こんな売り方で良いのかな？スーパードライより上だと言っているように感じられます。だったら、スーパードライを同価格に値下げして下さい。私はスーパードライを買います。レベルを上げすげて、期待が大きくて自爆しそう。普通に売ってたら、そこそこ売れてたと思いました。追記、BPOのTVCMを見るたびに、この商品が、頭に出て来ます。追記、BPOは間違いました。ＪＡＲＯです。ごめんなさい。,3
train,日本酒・洋酒・ビールもなんでも好きな酒好きです。元々瓶ビールをガンガン飲んでたのですが、ふとしたきっかけで発泡酒を飲んでハマりました。ガツンとくるビールの深みを探究しないのであれば十分楽しめる逸品です。■いいところ：・喉を潤すためであれば十分な味、喉越し、爽快感。・缶のデザインが良い。見た目が安っぽくない。一見すると少し高価なビールのように見える（主観。・缶の手触りが良い。いい意味ですこしざらつきがあって持ちやすい。・見た目、味、爽快感を満たすための値段とコスパが良すぎる。ジュース買うのと同等。■こんな人におすすめ：・ビール好きだけどそんなにお酒が強くない人。・2杯目に強めのお酒を用意するのが常で、1杯目は軽く喉を潤したい人。・とにかく安く喉を潤したい人。,28
train,クラフトビールのお店を探して一人で飲みに行くほどビールが好きです。いわゆる「第３のビール」は、「ビールの味に近いかどうか」というよりも、飲んだ後に生臭さを感じるため、敬遠していました。一番売れているという赤い色のやつもだめでした。ところがこの製品を試してみたところ、全く生臭さを感じず、また本物のビールと遜色のない深い麦の味わいがしました。スーパーで１本買って試した直後に、Amazonでケース買いしてしまいました。今２日に１本くらいのペースでケース半分ほど飲みましたが、まだ飲み飽きません。この製品はアタリでした。ビール系飲料は新商品が出てもなかなか定着せずすぐ消えて言ってしまうことが多い市場です。是非市場の新陳代謝に飲み込まれず、何年も持ちこたえて欲しい製品です。,5
train,今までキリンの「濃い味デラックス」が到達点であり濃DXが終売後は「本麒麟」がこのジャンルの最高点と思っていた。がコレである。このコク、飲みごたえ、深さ、炭酸の強さ。初めて飲んだとき後味のわずかな酸味に疑問を感じたが今では気にならず。香りに関しては及第点だが今後2.3年は本商品を超えるものは出ないのではないかというぐらい完璧です。もはやビール（キリンラガー）の出る幕はなくなった。この界隈はキリンの独壇場と思ってたが意外とやるじゃんアサヒ（だが相変わらずスーパードライは嫌い）,3
train,そりゃ、プレモルや一番搾り、エビスに比べれば味は落ちますよ。ライバルはプレモルとまではいかないですよ。でも5年以上前の豆の味がするような第3のビールからはすごい進歩です。2杯目以降はこれと金麦でオールOK。リモートワークで酒が進んじゃうしね。節約、節約！！,2
train,コクがあって美味しい！この後に間違えて黒ラベル呑んだら、なんと黒ラベルの方が味薄く感じた！,5
train,缶のデザインは良いのに、中身がダメ、がっかりです！色味が濃い目だからガツンと来るのかなと思ったら、アッサリ！苦味はソコソコ有るのに、ホップの香りがしない！とにかくキンキンに冷して飲んで下さい、これでやっと飲めます！箱買いして後悔しています。,-4
train,新発売とのことで興味本位で購入。のちに、第三のビールと判明。第三のビールでも美味しいのもあるが、申し訳ないがこれは不味い。飲めない。ごめんね。,-6
train,大好きな夫に買ってあげました。あまりこだわりがない夫ですが、不味くて飲めないとのこと。私は授乳中で飲めないので評価できないのが残念ですが、デザインだけオシャレだなとおもいました。知人も美味しくないと言っていたので、そうなのでしょう。,-9
train,大変美味しいと思います。すごく香ばしいです。発泡酒としては、ワンランク上だと思います。贅沢醸造と言う事で、本当に麦の香ばしい香りがして、アルコール度数も少し高めの6パーセントも納得です。リピートしました。,10.5
train,アサヒビール大好きな父にプレゼントしましたが、いまいちだったようです！不味くはないが、プライムリッチやクリアアサヒのほうが好きと言ってました。,0
train,コンビニエンスストアで売っている。オリジナルブランドの方が100倍美味しい。試飲せずケースで買った事を公開致しました。飲み口も最初から最後まで最悪。某1軒目に行く酒場のウィスキービールみたいな。臭さとえぐみが際立ちます。本当にアサヒブランドはスーパードライ以外ハズレしか出しませんね。飲めるように試行錯誤試してみましたが無理です。不味いの一言です。,-6
train,自分的には気に入ってます。もともとラガー系のビールが好きだったので苦味は丁度良いですよ。ドライ系が少し苦手なので満足してます。ステイホームで家飲みなので配達してくれるのが助かりますね☺️車処分でバイクでは運べ無い😅又リピート時にはよろしくです。,7
train,自分はクラフト系が好きなのですが、これは美味しいと思いました。これまでは麦とホップ（赤）とかを好んで買っていたのですが、ちょっと高くなっているのでこれに変えてみましたが満足しています。,5
train,味がビールのようにしっかり濃厚で美味しいです！普段は、キリン一番搾り飲んでましたが、この商品の2倍くらいの値段です。味はビールの方が美味しいですが、コスパを考えるとこちらで十分過ぎるほど美味しいです。,8
train,本麒麟の方が好きですが、これもあってもいいかなと。１週間に４日本麒麟、２日リッチ、１日はサントリブル～というロ～テ～ションで飲んでます。,2
train,リアリィのCMが印象的で購入しましたが、飲み始めはフルーティーで後味に少し苦みが残る感じでギネスビールっぽい味で美味しいですね。新ジャンルの価格でこの美味しさは、今までアサヒさんにはなかったクオリティじゃないでしょうか！是非ともまた買いたい商品です。,6
train,商品はまったく問題なし。この手の種では個人的に好きな味。安く・味わいながら酔いたいなら良い商品ですね。ただ、５本ほど異様にへこんでたのですが、まさか中国の配送業者みたいに、１回投げつけた？？他の１９本とはあからさまに違う外見になってたのですが・・・。,5
train,ビールもどきの中でコレ程シッカリとした重厚な味わいの商品は他に無いと思います。オススメします。,2
train,発泡酒のカテゴリーで第3のビールと値段変わらず安いと思う。味もアルコール6%もあるにも関わらずアルコール臭さが感じられないのはマル。不味いとの意見もあるが？である。金麦、本麒麟と買ってきたが、今後はこれかな。。ただ、缶が薄すぎて持つと凹んでベコベコ。これはちょっとやりすぎ。,1
train,日頃は金麦を飲んでいますが、本商品はビールに近いコクがあり美味しかったです。,5
train,本麒麟（アルコールがきつい）・キリン淡麗（すっきり）・金麦（別の飲み物としてフルーティ）と本製品を比較してみました。私の中では本製品がいちばんビールに近いのではないかと感じました！結果、Amazonで箱買いです。,0
train,美味しいですね。ビールに比べてイマイチかと思いましたが、遜色ありません。一度試してはどうでしょうか？私は次回も購入します,2
train,第3のビールでこの味なら満足です。普通のビールの半値です。ビールにこだわらなければリピします。,2
train,とにかく美味しい！こくもあるのに、すっきりした後味で、ビールの苦味は弱いテイストです。今お気に入りの品です。この価格で、この味ならかなりお買い得だと感じています。,16
train,アルコール度数が６％でやや高めでキリッとした飲みごごちがいいです。評価は｀ビールもどき｀としてのものです。ビールとして味やコクを評価するものではありません。晩酌に飲んでいますが購入時から少しづつ価格が上がっているのが残念。,1
train,心地よいほろ苦さは好みの味です。,5
train,新ビールの中では飲みやすく気に入りました。軽さは軽すぎずまあまあです。味も香りを重視の「エール」よりもクセがなく冷やして飲み心地は最高,8
train,少なくとも一番搾りよりだいぶ美味い。しばらくはこれ以外は買わないな,10.5
train,とても美味しくて良かったです、値段も安くて良かったです。,17.5
train,今までのﾗﾍﾞﾙと違っていて、味はどうかと思いましたが、第3のﾋﾞｰﾙにしては良いほうだと思います。本日も、また購入しました。,3
train,久々のヒット。うまいっす。,3
train,不味いです。そのままでは変な後味　私には合いませんでした。トマトジュースを入れたりレモンを入れたり、やっと消化しました。,-6
train,とっても美味しいです。少しフルーティーな味わいも感じますし、他と比較すると特徴が分かりやすい発泡酒です。,10.5
train,本麒麟から乗り換えました。主人の晩酌用に('∀｀),0
train,缶のデザインも高級感がありますが、中身も第3のビールとは思えないくらいに美味しいです。リピ確定。,5
train,飲みやすかったです。わたしが最初購入したのですが、酒飲みの彼氏がリピート購入してました。,3
train,価格、味とバランスの良いと思います。個人的には本キリンの独特の香りを少し和らげたもののように感じました。ただ、いわゆるビールの方がおいしいのは間違いなく、リピートはしません。,1
train,安かったので購入しましたが、私にはちょっと味が合わないかなと思いました,-4.4
train,夫が大絶賛。ぜひおすすめです。,9
train,このビールの前は本麒麟を飲んでいましたが、私的にはこちらの味が好きなので定期お特便にて購入させていただいております。,2
train,ライトな味わいで食事のときに飲みました。とても冷えた状態のときは良かったのですが、ぬるくなったときに、甘ったるく感じられました。よく冷やして飲むことをおすすめします。,3
train,コクがあって個人的においしいく感じる。期待してなかったので料理にあうし。６パーもいいけど、自宅で飲みすぎ注意。,5
train,発泡酒なのにリッチな後味がなかなか良い。,12.5
train,私より妻がはまっています。安い割には味がしっかりしているそうです。わたしにはわかりませんが。,2
train,味音痴でビールではなく価格の安い発泡酒を飲んでいます。ずっと、クリアアサヒプライムリッチを飲んでいましたが、こちらの方が美味しく感じます。,3
train,黒ビールと間違って注文しましたが、これはこれでおいしいと思います。☆3つにしていますが、評価の暖かさの意味はよくわかりません。,3
train,いろんなビールを飲んできましたが、普段飲みはこれが一番うまいと思いますし、我が家のビールはこれで十分です。,16.5
train,美味しい！,3
train,今まで本麒麟を飲んでましたが、これからこっちなら切り替えます。本麒麟よりも、少し香りも強く、味も濃いと感じます。,0
train,ホップの苦味を少し押さえたスッキリした味わいです！ピックアップゲートは中々優れものです。,19.5
train,普通のビールみたいで美味しいです！！！リピート購入してます！！！,3
train,クリアアサヒ越えるほど美味しいです笑。発泡酒の中ではレベル高いのでは？定期購入しようかと思います。,5
train,実はここ最近の発泡酒は、十分ビールの代わりになります。,0
train,上手い。ビール以上です。意外なのですが、あんこと相性がいいです。最近お気に入りの組合せです。,8
train,味香ともに最高です。コスパも良いし久しぶりに感動ものの飲み物です。,9
train,よい,3
train,美味しくいただいています。,3
train,私はそんなにビールが好きではないのですが、これは美味しい！,3
train,プレゼント用。ビールみたいで美味しいと言ってました。,3
train,さっぱりしたい時なんか最高！！お安くて気楽に飲めます,5
train,飲み越しさっぱりで美味しい！一度飲むとハマる味。,6
train,最近ではこれがいつも飲んでいる定番です。,0
train,ビールだと思って買ったら発泡酒でした。発泡酒はあまり飲まないのですが、そのへんの発泡酒よりは美味しいように思いました。慣れたらおいしかったです。,6
train,タイムセールだったので、お安い。美味しい,4
train,飲みやすくて美味しかったです。,6
train,お中元用に買いました。,0
train,ビールと間違えるほどの味でした。リピートありです。,0
train,かなり、美味しい,3
train,トマトジュースで割るから、安い物を選んだ,1
train,色々と試したが、このジャンルでこれが一番美味かった。,13.5
train,上手い。,3
train,最近ではこれが１番美味しいと感じました。,13.5
train,広告につられて購入しました。発泡酒とは思えない雑味のないコクがあります。アルコール度数も6%で嬉しい。ただ、好き嫌いのある味なようで、主人には不味いからいらないと言われました。,2
train,クセがなく飲みやすい,3
train,アサヒドライ好きな私が最高と思う。定期購入を頼みました,3
train,最高,3
train,ＣＭの通りプレミアム感！コスパ良い。,3
train,美味しかったです。,3
train,泡が美味しくて、再度購入しました。,3
train,第四のビールの中ではトップクラス、、、これと本麒麟がウマイ！,5
train,十分、満足出来ました。,2
train,新発売のタイミングに購入、やはりすっきり美味い！,5
train,飲みやすくて、美味い！,6
train,本麒麟、ゴールドスターときてこれ。美味しいですね、どれも。なかでもこのリッチは一番ビールに近いのでは。,5
train,値段の割にはお買い得で美味しいです。飲みごたえもありお勧めです。,10
train,タイムセールでお買い得だったので買いました,2
train,ビールに近いお酒。,0
train,問題なし,2
train,うまい！,3
train,味がイマイチです。,-3
train,飲んでみて、ビールの味がすると思いましたが、自分にはちょっと苦すぎて、美味しくないと思い初めました、前の金麦75オフに戻します,-13
train,リキュールの中で、一番気に入っています。,9
train,初めて飲みました。飲みやすい、美味しい、新ジャンルなのに、ハンパない！また飲みます。,6